batch_uuid,provider_name,recipient_bank_name,amount,transaction_status,last_update
6YQLVPE8VEfMcfT9udJPqEXQLO5pgOYFN2sKguM,GHIPSS Instant Payment,Standard Chartered Bank,1.00,REJECTED,2019-07-26 09:11:32.194461+00
6YQLVPE8VEfMcfT9udJPqEXQLO5pgOYFN2sKguM,GHIPSS Instant Payment,Standard Chartered Bank,1.00,REJECTED,2019-07-26 09:11:32.134815+00
6YQLVPE8VEfMcfT9udJPqEXQLO5pgOYFN2sKguM,GHIPSS Instant Payment,Standard Chartered Bank,1.00,REJECTED,2019-07-26 09:11:32.15682+00
6YQLVPE8VEfMcfT9udJPqEXQLO5pgOYFN2sKguM,GHIPSS Instant Payment,Standard Chartered Bank,1.00,REJECTED,2019-07-26 09:11:32.169907+00
6YQLVPE8VEfMcfT9udJPqEXQLO5pgOYFN2sKguM,GHIPSS Instant Payment,Standard Chartered Bank,1.00,REJECTED,2019-07-26 09:11:32.09697+00
6YQLVPE8VEfMcfT9udJPqEXQLO5pgOYFN2sKguM,GHIPSS Instant Payment,Standard Chartered Bank,1.00,REJECTED,2019-07-26 09:11:32.109551+00
6YQLVPE8VEfMcfT9udJPqEXQLO5pgOYFN2sKguM,GHIPSS Instant Payment,Standard Chartered Bank,1.00,REJECTED,2019-07-26 09:11:32.121526+00
6YQLVPE8VEfMcfT9udJPqEXQLO5pgOYFN2sKguM,GHIPSS Instant Payment,Standard Chartered Bank,1.00,REJECTED,2019-07-26 09:11:32.072514+00
6YQLVPE8VEfMcfT9udJPqEXQLO5pgOYFN2sKguM,GHIPSS Instant Payment,Standard Chartered Bank,1.00,REJECTED,2019-07-26 09:11:32.084803+00
6YQLVPE8VEfMcfT9udJPqEXQLO5pgOYFN2sKguM,GHIPSS Instant Payment,Standard Chartered Bank,1.00,REJECTED,2019-07-26 09:11:32.022628+00
6YQLVPE8VEfMcfT9udJPqEXQLO5pgOYFN2sKguM,GHIPSS Instant Payment,Standard Chartered Bank,1.00,REJECTED,2019-07-26 09:11:32.035288+00
6YQLVPE8VEfMcfT9udJPqEXQLO5pgOYFN2sKguM,GHIPSS Instant Payment,Standard Chartered Bank,1.00,REJECTED,2019-07-26 09:11:32.047419+00
6YQLVPE8VEfMcfT9udJPqEXQLO5pgOYFN2sKguM,GHIPSS Instant Payment,Standard Chartered Bank,1.00,REJECTED,2019-07-26 09:11:31.985613+00
6YQLVPE8VEfMcfT9udJPqEXQLO5pgOYFN2sKguM,GHIPSS Instant Payment,Standard Chartered Bank,1.00,REJECTED,2019-07-26 09:11:31.997478+00
6YQLVPE8VEfMcfT9udJPqEXQLO5pgOYFN2sKguM,GHIPSS Instant Payment,Standard Chartered Bank,1.00,REJECTED,2019-07-26 09:11:32.010083+00
6YQLVPE8VEfMcfT9udJPqEXQLO5pgOYFN2sKguM,GHIPSS Instant Payment,Standard Chartered Bank,1.00,REJECTED,2019-07-26 09:11:31.960768+00
6YQLVPE8VEfMcfT9udJPqEXQLO5pgOYFN2sKguM,GHIPSS Instant Payment,Standard Chartered Bank,1.00,REJECTED,2019-07-26 09:11:31.948764+00
6YQLVPE8VEfMcfT9udJPqEXQLO5pgOYFN2sKguM,GHIPSS Instant Payment,Standard Chartered Bank,1.00,REJECTED,2019-07-26 09:11:31.911787+00
6YQLVPE8VEfMcfT9udJPqEXQLO5pgOYFN2sKguM,GHIPSS Instant Payment,Standard Chartered Bank,1.00,REJECTED,2019-07-26 09:11:31.936566+00
6YQLVPE8VEfMcfT9udJPqEXQLO5pgOYFN2sKguM,GHIPSS Instant Payment,Standard Chartered Bank,1.00,REJECTED,2019-07-26 09:11:31.874522+00
6YQLVPE8VEfMcfT9udJPqEXQLO5pgOYFN2sKguM,GHIPSS Instant Payment,Standard Chartered Bank,1.00,REJECTED,2019-07-26 09:11:31.886504+00
